racheltropea,200,337
sherillhynes,158,101
elainemwalters,205,418
VK7HSE,167,216
kevpower101,891,941
geeksrulz,12841,3780
sloksagar,580,326
johnnol1,1885,2312
miriamcosic,3157,1053
SlowBurnOz,1806,1435
Meldawson6,659,273
kyliesjacques,1461,1787
wallrad,4472,4824
simpsubhswf,1250,751
rene_blin,287,375
PeterCFloyd,560,727
maurie_mulheron,623,239
Macrojohnnorth,633,805
SeedyFella,229,54
Toonaciliata,758,2294
mandyrojas23,501,1000
MiraWroblewski,817,942
Ellecee4291,265,340
barbvee,448,1270
graylinz,45,71
climatecancel,1346,1801
j2dk,745,1733
ian_booth,720,883
mon_marsh,1549,1616
RodBamberry,817,372
cgadsden,324,1678
UnsdsnTurkey,349,85
vjmahon,369,546
LennaLeprena,14894,10144
robertocolanzi,2027,991
BoultR,783,1215
Jenn1964Hussey,1474,2512
thatsjazz2,1173,1517
FinancialReview,243522,256
garigalAnj,1198,3395
In_The_Taratory,3364,393
PatHannaford,608,1008
tincanoe,200,304
Crankie58,294,787
judith_black,1094,2239
Jane17220975,376,797
ochreblue,2272,4206
Aussie_Ace,1342,1994
gr379123,200,208
gezgintrk,12622,10351
Michtull,3101,2390
AustralisTerry,5965,5315
mephistojones,1180,1437
DoctorEuge,566,63
FredQuackinbush,35,
DrHsantana,81,642
amagickeagle999,1736,1284
AugustusBrown,693,710
TerrenceAWatson,354,1073
TheMuellerName,2093,1425
bestbeLeft,6,7
AusWomby,524,1429
PeterAndersonAU,93,290
TopHashtags,12759,
u_hardy,1424,1535
Tan3User,1537,2567
watt_shane,3176,3065
Nicolasgwet,5261,3187
albericie,57287,841
maca_13_9,1489,1022
Aus_Contrarian,159,403
JS49,773,609
EHFoundation237,5364,4156
Isayneversaydie,286,702
BarryLMacDonald,2325,3007
J_star500,2670,3079
JackHigh4,685,440
glebbern,1521,2336
PeterDoyley,1126,1445
esphelo,29,51
HappiJason,324,399
jleo45,555,519
traceywithhope,2294,407
SoftKittyWarm,254,1499
mauricebilli,916,2200
supergran41,746,597
BU5HW00K13,187,604
LeftyMatt,2471,2191
nickglennox,57,72
DanNancarrow,973,2215
mairmicate,602,1057
lydiadaye,967,173
zlatford,2743,2346
mefergus,448,346
AnnashiJayde,1211,1935
franotoole45,77,254
di_oz,46,207
DeenaSarker,1624,1553
myfibonacci,1373,843
wabusinessnews,9794,769
CaptHaddock83,2004,856
NedGhost,383,742
toninicho,4540,2880
SallyRMelb,4957,4497
AncientSpoonbil,116,116
LibDemNSW,704,560
jasperniloc,400,482
cuzaus,164,235
jamie_ling,2161,1683
VENUS042877,12,36
MsLonesomeBlues,3272,2888
MelianJarvis,147,288
GedKACTU,11560,976
trickyidnego,644,455
darylgibson,2910,4998
MichelleAdomah,62,885
mikerestorer,1960,5001
davemasters30,89,1393
MichaelPolakLaw,1043,2051
nikt50,1636,2557
bchcomber,2233,1669
dalemichaels201,127,1321
davidglanz,493,312
alpineharris,285,944
IIreckon,1742,2729
deniseshrivell,5009,5037
AntiAbbottAust,3520,2168
gretel_andersen,1508,717
ResignInShame,6022,2930
advodiaboli,455,401
sandy_vibe,1145,1133
finnsydney,1229,1958
LaLegale,4833,2605
MKR1MKR2,160,150
WittaTwitta,4072,3771
ClubeGaffer,1852,1972
Lynestel,5028,4218
chedz007,2866,3456
Wolfie_Rankin,4635,3043
prh46,1083,2038
DaKangaroo,1000,517
MeckeringBoy,4374,4992
butcherbird,605,562
FluidityAuthor,502,1218
RantingPandaCom,769,2083
IntlStudiesRMIT,381,744
zezitom,4015,3912
apgf2009,4751,3097
Fentonthedragon,187,373
madnyc,1475,3977
CarleitaS,560,465
PeterK0243,343,563
kirby_mic,358,400
jap356,81,1713
Qlder,14318,15506
RedFlag_news,4617,7
kmurray702,511,513
GTFOaHERE,134,513
Elias_Hallaj,4103,4998
Janamok,106,381
AngelaKorras,3667,3644
rene_horton,271,217
fox66,1394,1768
WarrenAiden,508,907
BlackKnight981,1564,1532
TerryLondon1,1668,3352
IRVINENP,110,204
CorrellioAgain,541,887
Isometimeswish,355,1237
tilly64,696,880
jax_pad,32,34
KellyArnett,25,65
FOU_official,666,195
KingSamuel012,280,527
berek61,603,2412
MiriamPossitani,42,60
nicolasnicola22,876,110
WilliamFosterOZ,417,415
warrick_w,912,526
Elenski55,550,415
RuthPtn,58,40
MichaelDaltonJ,992,1587
TimBenfatto,329,621
david_day_,503,516
DaveMcRae,1168,2361
BelleBaker_AG,2134,2170
patrica1942,115,164
Lilly_learns,179,637
